,Unnamed: 0,sent1,sent2,similarity,pool_DSBERT,pool_CBERT,cls_DSBERT,cls_CBERT,predicted_MINILM
40,40,Two people in snowsuits are lying in the snow and making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,0.7749999999999999,0.9862757,0.98441297,0.9834798,0.968342,"(0.9399407, 0.72506773)"
41,41,Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,0.8999999999999999,0.9457139,0.9410604,0.93723166,0.9412336,"(0.8688002, 0.6654077)"
42,42,Two children are lying in the snow and are making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,0.65,0.9503439,0.945894,0.93787974,0.92894053,"(0.8600002, 0.5915109)"
43,43,There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels,0.575,0.9704119,0.95302963,0.96835095,0.94880384,"(0.8524542, 0.5751873)"
44,44,A little girl is looking at a woman in costume,A young girl is looking at a woman in costume,0.925,0.98793733,0.9895716,0.98916084,0.99087965,"(0.9526948, 0.9067085)"
45,45,A little girl is looking at a woman in costume,The little girl is looking at a man in costume,0.7,0.9853772,0.98171043,0.9892254,0.97850966,"(0.9204921, 0.8468039)"
46,46,A little girl is looking at a woman in costume,A little girl in costume looks like a woman,0.475,0.9710138,0.96762717,0.97685575,0.96738863,"(0.9633949, 0.8678781)"
47,47,Masked people are looking in the same direction in a forest,A little girl is looking at a woman in costume,0.075,0.91099375,0.9101752,0.93217015,0.92477775,"(0.56579167, 0.2626579)"
48,48,A little girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,0.4,0.9236691,0.9230006,0.9346361,0.91052336,"(0.6313408, 0.2849058)"
49,49,A man is jumping into an empty swimming pool,A man is jumping into an empty pool,0.95,0.98778206,0.98816305,0.9931207,0.9924418,"(0.97313374, 0.97102827)"
50,50,A lone biker is jumping in the air,A man is jumping into an empty swimming pool,0.15,0.9094902,0.91410315,0.9161407,0.8969674,"(0.50245696, 0.33466527)"
51,51,A man is jumping into an empty pool,"A biker is jumping in the air, alone",0.15,0.9016382,0.91253537,0.8918043,0.90354323,"(0.5156814, 0.38402376)"
52,52,A man is jumping into an empty pool,There is no biker jumping in the air,0.0499999999999999,0.8611541,0.8655385,0.8853258,0.7632092,"(0.5645635, 0.4002476)"
53,53,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,0.75,0.98790705,0.9933342,0.9770845,0.99047685,"(0.9432909, 0.8838591)"
54,54,Four girls are doing backbends and playing in the garden,Four children are doing backbends in the park,0.675,0.9519587,0.96791714,0.9608059,0.9591472,"(0.8316303, 0.69856226)"
55,55,Four girls are doing backbends and playing indoors,Four children are doing backbends in the park,0.675,0.9373547,0.9547985,0.9541637,0.9578039,"(0.80312383, 0.62242484)"
56,56,Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors,0.825,0.9356871,0.9470515,0.9435724,0.94177365,"(0.8500632, 0.72897935)"
57,57,Four girls are doing backbends and playing outdoors,Four children are doing backbends in the park,0.7749999999999999,0.9375477,0.95569634,0.9344535,0.9524552,"(0.8560175, 0.7350265)"
58,58,A player is throwing the ball,A player is running with the ball,0.625,0.97159845,0.9700861,0.9831822,0.9844135,"(0.87494785, 0.70060706)"
59,59,Two groups of people are playing football,Two teams are competing in a football match,0.925,0.9179805,0.8963094,0.950718,0.9102555,"(0.9328228, 0.73756063)"
60,60,Two teams are competing in a football match,Two teams are competing in a baseball game,0.725,0.98000455,0.97915053,0.9865818,0.9853089,"(0.73804885, 0.5629448)"
61,61,Two teams are competing in a football match,Football is being played by two competing teams,0.95,0.9521651,0.9369501,0.9601648,0.9504734,"(0.9727643, 0.9054011)"
62,62,A player is running with the ball,Football is being played by two competing teams,0.5,0.87282884,0.8628737,0.8955508,0.8860621,"(0.75431913, 0.39315465)"
63,63,Two teams are competing in a football match,A man who is playing is running with the ball in his hands,0.425,0.8581145,0.86912686,0.8621403,0.8897722,"(0.72267216, 0.24638897)"
64,64,Five children are standing in front of a wooden hut,Five children are standing in front of a hut made of wood,0.95,0.9797692,0.9778309,0.9856832,0.97949857,"(0.98905087, 0.9802345)"
65,65,Five kids are standing close together and one kid has a gun,Five kids are standing close together and one kid has a weapon,0.95,0.9944043,0.98729384,0.99090695,0.98157513,"(0.92268175, 0.9184387)"
66,66,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a weapon,0.4499999999999999,0.90724355,0.8947613,0.9402103,0.927456,"(0.705949, 0.5706277)"
67,67,Five children are standing in front of a hut made of wood,Five kids are standing close together and one kid has a gun,0.5,0.9020736,0.8890989,0.9350319,0.9347956,"(0.6504268, 0.5200932)"
68,68,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a gun,0.3249999999999999,0.899878,0.8866922,0.9377985,0.9284596,"(0.66137576, 0.5343679)"
69,69,A person is wearing a hat and is sitting on the grass,There is no person wearing a hat and sitting on the grass,0.575,0.9785285,0.9711966,0.9760573,0.9627812,"(0.9083927, 0.7239413)"
70,70,A person is sitting in a field and is wearing a hat,A man is sitting in a field,0.75,0.9593174,0.9443865,0.9436462,0.9434031,"(0.92368054, 0.727561)"
71,71,A man is sitting in a field,There is no person wearing a hat and sitting on the grass,0.425,0.9111704,0.90576786,0.94099325,0.8880068,"(0.65943354, 0.3577615)"
72,72,An old man is sitting in a field,A person is wearing a hat and is sitting on the grass,0.4499999999999999,0.90697956,0.90728486,0.92159027,0.9027529,"(0.7058062, 0.4148344)"
73,73,A person is wearing a hat and is sitting on the grass,A man is running in a field,0.0999999999999999,0.8986341,0.9104851,0.9397641,0.9307277,"(0.61363757, 0.2084159)"
74,74,This group of people is practicing water safety and wearing preservers,Preservers are being worn by a group of people who are practicing water safety,0.975,0.9415267,0.9436113,0.91257715,0.9383519,"(0.9901775, 0.95964754)"
75,75,Nobody is practicing water safety and wearing preservers,This group of people is practicing water safety and wearing preservers,0.6,0.9624598,0.96674824,0.9622015,0.9561822,"(0.9556554, 0.69789135)"
76,76,A group of friends are riding the current in a raft,Preservers are being worn by a group of people who are practicing water safety,0.475,0.8748363,0.89705026,0.8590994,0.89211535,"(0.6280545, 0.38857242)"
77,77,Nobody is practicing water safety and wearing preservers,A group of friends are riding the current in a raft,0.3,0.88995755,0.87889534,0.9256917,0.8971013,"(0.58953553, 0.18360499)"
78,78,A group is not riding the current in a raft,This group of people is practicing water safety and wearing preservers,0.4499999999999999,0.8904487,0.9048283,0.917839,0.9106621,"(0.604306, 0.34953225)"
79,79,A deer is jumping over a fence,A deer is jumping over the enclosure,0.88375,0.96076703,0.97625065,0.97247165,0.97773975,"(0.8949215, 0.8548908)"
80,80,A wild deer is jumping a fence,A deer is jumping a fence,0.95,0.9888055,0.9849639,0.99337626,0.98735356,"(0.9766252, 0.94334406)"
81,81,A deer is jumping a fence,There is no deer jumping fences,0.7749999999999999,0.92032456,0.9115072,0.9430984,0.9166831,"(0.9269917, 0.7370244)"
82,82,A wild deer is jumping a fence,A deer is jumping over a fence,0.875,0.9786322,0.97316825,0.9897667,0.97158015,"(0.9373525, 0.8829784)"
83,83,There is no deer jumping fences,A deer is jumping over a fence,0.42125,0.9073237,0.88812566,0.92904854,0.8665004,"(0.8867469, 0.6862774)"
84,84,A deer is jumping over the enclosure,A deer is jumping a fence,0.8,0.95449406,0.9721034,0.9699077,0.97894585,"(0.8545473, 0.7656106)"
85,85,A deer is jumping a fence,A deer isn't jumping over the fence,0.6375,0.9504238,0.9455751,0.96703875,0.9757148,"(0.97281355, 0.8814477)"
86,86,A deer is jumping over a fence,A deer is jumping a fence,0.975,0.9878949,0.98624885,0.9925008,0.98272866,"(0.95973563, 0.9360055)"
87,87,People are walking outside a building that has many murals on it,People are walking outside the building that has several murals on it,0.925,0.9868788,0.9912721,0.9884939,0.9920659,"(0.9974325, 0.98936343)"
88,88,Several people are in front of a building which is covered by colors,Several people are in front of a colorful building,0.925,0.9715096,0.96463835,0.97423196,0.96724,"(0.97405523, 0.94972277)"
89,89,Several people are in front of a building which is covered by colors,People are walking outside a building that has many murals on it,0.7,0.94576824,0.94465053,0.9466858,0.94670403,"(0.82129073, 0.5778192)"
90,90,Several people are in front of a colorful building,People are walking inside a building that has many murals on it,0.6,0.9407161,0.94271576,0.9490726,0.9504043,"(0.81256974, 0.5737312)"
91,91,People are walking outside a building that has many murals on it,Several people are in front of a colorful building,0.675,0.94179356,0.94481933,0.9465747,0.95242167,"(0.8366103, 0.5908336)"
92,92,A boy is hitting a baseball,A child is hitting a baseball,0.8500000000000001,0.9849049,0.98732233,0.99025023,0.9884126,"(0.93631244, 0.8674311)"
93,93,A child is hitting a baseball,A child is missing a baseball,0.7,0.9751617,0.9516923,0.98032844,0.9432034,"(0.872949, 0.7171019)"
94,94,A family is watching a little boy who is hitting a baseball,A family is watching a boy who is hitting a baseball,0.8999999999999999,0.9937141,0.9950876,0.99660337,0.99708307,"(0.97132874, 0.96131164)"
95,95,A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball,0.675,0.9912203,0.991904,0.98916304,0.9890449,"(0.99216294, 0.98707265)"
96,96,A family is watching a boy who is hitting a baseball,A child is hitting a baseball,0.675,0.9443393,0.9562969,0.94941354,0.9725658,"(0.8966916, 0.63451195)"
97,97,A little boy is watching a family that is hitting a baseball,A child is hitting a baseball,0.675,0.92821735,0.9458472,0.9310924,0.9726097,"(0.8809642, 0.65549845)"
98,98,A family is watching a little boy who is hitting a baseball,A boy is hitting a baseball,0.8,0.93711513,0.95749545,0.9438735,0.97361284,"(0.90905, 0.67050886)"
99,99,A family is watching a little boy who is hitting a baseball,A child is hitting a baseball,0.7749999999999999,0.93076664,0.9503914,0.9373058,0.97428596,"(0.88993406, 0.63480866)"
100,100,A large group of Asian people is eating at a restaurant,A group of people from Asia is eating at a restaurant,0.95,0.9802662,0.985186,0.9842769,0.99229336,"(0.9723592, 0.91393816)"
101,101,A large group of Asian people is eating at a restaurant,A small group of people is waiting to eat in a restaurant,0.6,0.96095407,0.96027917,0.97856236,0.9553181,"(0.85185844, 0.66944957)"
102,102,A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating,0.625,0.9823445,0.98226446,0.9669517,0.9562207,"(0.9851865, 0.9617222)"
103,103,Various people are eating at red tables in a crowded restaurant with purple lights,Various customers are eating in a crowded restaurant with purple lights,0.8999999999999999,0.9812994,0.98357105,0.97909623,0.9891076,"(0.9111577, 0.8530674)"
104,104,Few people are eating at red tables in a restaurant without lights,Various people are eating at red tables in a crowded restaurant with purple lights,0.55,0.9815389,0.97354597,0.97420156,0.9718152,"(0.9066305, 0.78540003)"
105,105,A group of people from Asia is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,0.5,0.9234309,0.9299569,0.9205337,0.94196165,"(0.7530789, 0.62846243)"
106,106,A group of people in a large Asian restaurant is eating,Various people are eating at red tables in a crowded restaurant with purple lights,0.575,0.9407715,0.94400185,0.93538475,0.9356717,"(0.7510383, 0.6588897)"
107,107,A large group of Asian people is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,0.575,0.9333257,0.942809,0.9321368,0.94531894,"(0.7496774, 0.63825375)"
108,108,A motorcycle rider is standing up on the seat of a white motorcycle,A motorcycle is riding standing up on the seat of the vehicle,0.7749999999999999,0.9639118,0.97235924,0.96317375,0.9732063,"(0.92826194, 0.87930006)"
109,109,Someone is on a black and white motorcycle and is standing on the seat,A rider is on a black and white bike and is standing on the seat,0.8999999999999999,0.9813603,0.9831235,0.9817689,0.97477573,"(0.8915204, 0.84228647)"
110,110,A rider is on a black and white bike and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,0.65,0.94715846,0.93953,0.9566533,0.9309956,"(0.83632976, 0.76012313)"
111,111,Nobody is on a motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,0.65,0.9375688,0.927685,0.94833577,0.91687125,"(0.8019689, 0.5744659)"
112,112,Someone is on a black and white motorcycle and is standing on the seat,No motorcycle rider is standing up on the seat of a motorcycle,0.65,0.93614686,0.9437382,0.95353633,0.95212007,"(0.9051233, 0.74539524)"
113,113,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,0.675,0.94652426,0.94167584,0.94959414,0.9467741,"(0.9121348, 0.8615407)"
114,114,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,0.675,0.9855659,0.98466533,0.98047024,0.98554456,"(0.904497, 0.7313397)"
115,115,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,0.75,0.9299412,0.9248167,0.9455552,0.9466927,"(0.7867614, 0.5583576)"
116,116,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike dangerously along a roadway,0.7,0.9641448,0.95302546,0.96881557,0.96036774,"(0.8172597, 0.64561385)"
117,117,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist with a red helmet is riding a blue motorcycle down the road,0.575,0.94707954,0.92894554,0.9349902,0.9052517,"(0.80473864, 0.49980485)"
118,118,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,0.875,0.96127754,0.9501511,0.9640482,0.9496072,"(0.862637, 0.721423)"
119,119,A dog is catching a stick in the air and another is watching,A dog is leaping high in the air and another is watching,0.8,0.9742714,0.9764756,0.9879941,0.99008393,"(0.8039496, 0.67080086)"
120,120,There is no dog leaping in the air,A dog is leaping high in the air and another is watching,0.575,0.9042038,0.88580143,0.86005443,0.7782334,"(0.90366423, 0.6479066)"
121,121,Two dogs are playing by a tree,Two dogs are sleeping by a tree,0.64125,0.9622596,0.9726445,0.97695005,0.9749727,"(0.78298056, 0.58942163)"
122,122,A dog is leaping high in the air and another is watching,Two dogs are playing by a plant,0.4499999999999999,0.8990385,0.8966391,0.89108354,0.9050466,"(0.6627759, 0.39263463)"
123,123,A dog is leaping high in the air and another is watching,Two dogs are sleeping by a tree,0.4,0.92864025,0.92104197,0.91115046,0.91935146,"(0.59211344, 0.17207697)"
124,124,The dancer is dancing in front of the sound equipment,The blond girl is dancing in front of the sound equipment,0.8500000000000001,0.98128325,0.9786469,0.98286366,0.98192453,"(0.8444702, 0.74509776)"
125,125,The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,0.725,0.98622745,0.98915493,0.99459535,0.99192774,"(0.98406154, 0.9709128)"
126,126,The blond girl is dancing in front of the sound equipment,The equipment in front of the blond dancing girl is sound,0.725,0.9765568,0.9790276,0.9503723,0.9506393,"(0.9629257, 0.9167217)"
127,127,The children of a family are patiently playing and waiting,The children of a family are playing and waiting,0.875,0.9870392,0.9868969,0.9916494,0.98515975,"(0.98292243, 0.95869946)"
128,128,The children of a family are playing and waiting,There are no children playing and waiting,0.525,0.94909924,0.94795704,0.97026277,0.95752597,"(0.8946306, 0.6135235)"
129,129,Three Asian kids are dancing and a serious man is looking,Three Asian kids are dancing and a man is looking,0.875,0.99408036,0.9920774,0.9938579,0.99220353,"(0.9907204, 0.9695983)"
130,130,The children of a family are playing and waiting,Three Asian kids are dancing and there is no man looking,0.425,0.90966,0.9159312,0.9268578,0.9070058,"(0.583905, 0.32493004)"
131,131,Three Asian kids are dancing and a man is looking,The children of a family are playing and waiting,0.3249999999999999,0.9126147,0.9239751,0.9187659,0.8648952,"(0.5974305, 0.30558932)"
132,132,A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,0.725,0.97498703,0.9721696,0.96525556,0.967854,"(0.9889678, 0.9755008)"
133,133,The woman is wearing glasses and a black headdress,The woman with a black hat is wearing sunglasses,0.725,0.95178324,0.94555736,0.94437015,0.93657726,"(0.90032613, 0.80310524)"
134,134,The woman is not wearing glasses or a headdress,The woman is wearing glasses and a black headdress,0.725,0.9569289,0.9585669,0.96819,0.9522147,"(0.90127516, 0.6944313)"
135,135,The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress,0.675,0.97732216,0.9728916,0.98254,0.97692096,"(0.95742965, 0.9090246)"
136,136,A woman is wearing an Egyptian headdress,The woman with a black hat is wearing sunglasses,0.3249999999999999,0.9281403,0.9216659,0.92855763,0.93165237,"(0.5706773, 0.39548182)"
137,137,The woman is not wearing glasses or a headdress,A woman is wearing an Egyptian headdress,0.65,0.9263586,0.9341514,0.94400156,0.9405643,"(0.73080206, 0.52100533)"
138,138,A woman is wearing an Indian headdress,The woman is wearing glasses and a black headdress,0.5,0.9425489,0.94020545,0.93551636,0.9485352,"(0.7356695, 0.53470564)"
139,139,The woman is wearing glasses and a black headdress,An Egyptian is wearing a woman's headdress,0.525,0.93828624,0.92883,0.96899337,0.95065016,"(0.7170485, 0.5073211)"
140,140,The woman is wearing glasses and a black headdress,A woman is wearing an Egyptian headdress,0.7,0.94298095,0.93808407,0.9407738,0.95200574,"(0.6991718, 0.53830993)"
141,141,A man is on a rock high above some trees and is standing in an uncomfortable position,A man is on a rock high above some trees and is standing in a strange position,0.8,0.9916463,0.991134,0.9945303,0.9907838,"(0.98212093, 0.9213624)"
142,142,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is dancing,0.55,0.9024657,0.9035522,0.91245127,0.9064571,"(0.5810364, 0.2639079)"
143,143,A cowgirl is riding a brown horse and is cornering a barrel,A cowgirl is riding a horse and corners a barrel,0.925,0.9829446,0.9821137,0.9918573,0.98996365,"(0.94192827, 0.92130184)"
144,144,A cowboy is riding a horse and cornering a barrel,A cowgirl is riding a horse and corners a barrel,0.7749999999999999,0.98020434,0.9763116,0.9906634,0.97619534,"(0.8230422, 0.68151045)"
145,145,A cowgirl is riding a barrel near a horse in the corner,A cowgirl is riding a horse and corners a barrel,0.4499999999999999,0.9740082,0.9774835,0.97692025,0.97139335,"(0.98503834, 0.9518544)"
146,146,The brown horse is very near a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,0.475,0.9135255,0.91253763,0.9240976,0.9342037,"(0.70865774, 0.5238347)"
147,147,The brown horse is far from a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,0.375,0.9097804,0.90766686,0.92536277,0.9321278,"(0.6993309, 0.47901446)"
148,148,A cowboy is riding a horse and cornering a barrel,The brown horse is near a red barrel at the rodeo,0.675,0.9204015,0.9118128,0.9332395,0.92334473,"(0.71924376, 0.50949067)"
149,149,The brown horse is near a red barrel at the rodeo,A cowgirl is riding a barrel near a horse in the corner,0.525,0.94930613,0.9281605,0.9419205,0.94005275,"(0.7198517, 0.57645273)"
150,150,A boy is standing outside the water,A boy is standing in the water,0.65,0.9870937,0.9911128,0.9939194,0.995258,"(0.9826674, 0.9274014)"
151,151,The kid is swimming through the blue ocean,The boy is wading through the blue ocean,0.8,0.9377973,0.9047855,0.9603013,0.89144397,"(0.87119704, 0.7364171)"
152,152,A boy is standing in the water,The boy is sitting near the blue ocean,0.4499999999999999,0.9349097,0.8910927,0.9508573,0.8947794,"(0.761764, 0.55995935)"
153,153,A boy is standing in the water,The boy is wading through the blue ocean,0.75,0.89277333,0.8433392,0.9276106,0.85803276,"(0.7922505, 0.6159329)"
154,154,A skilled man is playing a guitar on stage,A man is playing a guitar on stage,0.8999999999999999,0.979434,0.9851362,0.9762974,0.9891618,"(0.9809525, 0.9376426)"
155,155,A person has blonde and flyaway hair and is playing a guitar,A guitarist has blonde and flyaway hair,0.925,0.9611363,0.9609704,0.953057,0.8700766,"(0.930438, 0.8742318)"
156,156,A skilled man is playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,0.7,0.9282255,0.926911,0.9125416,0.9408712,"(0.8029762, 0.500079)"
157,157,A man is playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,0.5,0.9090275,0.9211356,0.9083607,0.9361061,"(0.7938329, 0.4775748)"
158,158,Several children are sitting down and have their knees raised,Several children are standing up,0.57125,0.92977184,0.9283579,0.93858975,0.91402054,"(0.7922204, 0.6130949)"
159,159,Two girls are lying on the ground,Two girls are sitting on the ground,0.7,0.992753,0.9916394,0.9956884,0.9940771,"(0.922806, 0.8014431)"
160,160,Two young girls are sitting on the ground,Several children are sitting down and have their knees raised,0.475,0.915777,0.9107196,0.91079795,0.91630805,"(0.7740774, 0.45807844)"
161,161,Several children are lying down and are raising their knees,Two girls are sitting on the ground,0.3249999999999999,0.91998804,0.9044845,0.9409718,0.9116461,"(0.72147334, 0.302858)"
162,162,Several children are standing up,Two girls are sitting on the ground,0.2,0.9296367,0.86689043,0.9576601,0.8828582,"(0.7000623, 0.20972797)"
163,163,Several children are sitting down and have their knees raised,Two girls are sitting on the ground,0.55,0.90804124,0.9053893,0.912944,0.904058,"(0.7564014, 0.38613066)"
